dataset_source,species,breed,age_years,weight_kg,body_temp_c,symptoms,outcome_diagnosis
Clinical,Dog,Golden Retriever,9.1,37.2,,"Discharge From eyes, Blindness, Scartches, Redness of eye, Pains",Vaccinated
Clinical,Dog,Poodle,3.3,4.5,,"Excessive blood loss, dizziness and fainting, Blurry vision, watery eyes, slow growth",Recent surgery
Clinical,Cat,Scottish Fold,16.2,4.4,,"Corneal Ulceration, Sneezing, Swelling may occur under jaw, Vomiting, Blue straws",Recent surgery
Clinical,Dog,Bulldog,5.4,15.0,,"Weakness, Weight loss, Lethargy, Weakness, Lethargy",No previous conditions
Clinical,Cat,Persian,6.4,4.6,,"Smell, Diarrhea, loss of appetite, Excess sleeping, Folded Ears",Chronic illness
Clinical,Dog,Rottweiler,2.8,25.0,,"Weight Loss, Fever, Fever, Vomiting, Fever",Dental issues
Clinical,Cat,Maine Coon,5.6,7.3,,"Watering of eyes, Redness of white of the eye, Swelling of eyelid, Cornea become cloudy, Tear production",Skin conditions history
Clinical,Dog,Boxer,9.2,24.1,,"Weight loss, Fever, Pain, Poor immune function, Inflammed eye",Dental issues
Clinical,Dog,Beagle,12.1,21.0,,"Stand with head droping, Weight loss, Fever, Abnormal behaviour, Pneumonia ",Previous kidney disease
Clinical,Cat,British Shorthair,13.0,6.5,,"Facial edema, Loss of earing, Vomiting, Head ache, Throat and Ear pain",Skin conditions history
Clinical,Dog,Yorkshire Terrier,13.2,7.3,,"Fever, loss of appetite, Depression, Loss of appetite, Pains",Allergies
Clinical,Cat,Ragdoll,13.0,6.4,,"Fever, Dullness, Relunctance to walk, Infected navels, Pains",Vaccinated
Clinical,Dog,Bulldog,6.7,15.0,,"Sneezing, Coughing, Diarrhea, Retarded Growth, Weakness",Allergies
Clinical,Cat,British Shorthair,17.0,2.5,,"Dyspnea, Vomiting, Pain, Anorexia, Diarrhea",Allergies
Clinical,Cat,Ragdoll,17.4,6.9,,"Weight loss, Weight loss, Anorexia, Sneezing, Weight loss",Chronic illness
Clinical,Cat,Mixed Breed,16.2,4.1,,"Decreased growth of bone, Depression, Grunting, Lameness, Weight loss",No previous conditions
Clinical,Dog,Beagle,14.6,29.7,,"Weakness, Anorexia, Anorexia, Pain, Shivering",Previous heart condition
Clinical,Cat,British Shorthair,9.1,6.1,,"Anorexia, Sneezing, Diarrhea, Vomiting, Weakness",Skin conditions history
Clinical,Cat,Maine Coon,7.2,8.4,,"Ruffled Appearance, Loss of Appetite, Vomiting, Green Dropping, Nasal Discharge",Allergies
Clinical,Cat,Scottish Fold,10.8,3.6,,"Anorexia,  rapid heartbeats, Vomiting, Sneezing, Pain",Skin conditions history
Clinical,Dog,Boxer,2.7,27.9,,"restless movement, weakness, decreased stool production, heavy breathing, distended stomach",Not vaccinated
Clinical,Cat,Persian,3.1,6.4,,"Weight loss, Weight loss, Coughing, inappetence, Lethargy",Previous kidney disease
Clinical,Cat,Siamese,14.6,6.2,,"Pnemonia, Loss of  appetite, Eye disharge, Lameness, Arthritis",Allergies
Clinical,Dog,Yorkshire Terrier,13.5,4.4,,"Lethargy, Loss of appetite, Swelling, Nasal Discharge, Blindness",Previous heart condition
Clinical,Cat,Siamese,4.2,6.6,,"Weight loss, Weakness, Vomiting, Fever, Fever",Recent surgery
Clinical,Dog,Mixed Breed,4.5,27.5,,"Enteritis, Weight loss, Halitosis, Air sacculitis, Coughing",Skin conditions history
Clinical,Cat,British Shorthair,8.2,5.2,,"Dark or black face, Diarrhea, Vomiting, Blood in faces, Pain",Parasite history
Clinical,Dog,Boxer,14.0,16.8,,"Loss of eat, Weakness, Sneezing, Pain, Fever",Parasite history
Clinical,Dog,Yorkshire Terrier,8.7,8.8,,"Pain, Weakness, difficulty breating, Coughing, Pain",Recent surgery
Clinical,Cat,Mixed Breed,5.4,3.1,,"Appetite, Vomiting, Weight loss, Upset stomach, Bony Lesion",Previous kidney disease
Clinical,Cat,Mixed Breed,12.4,3.6,,"Coughing, Pain, Less Eat, Weight loss, Eye and Skin change",Previous heart condition
Clinical,Dog,Rottweiler,4.1,36.3,,"Sneezing, Coughing, Fever, Weakness, Coughing",Skin conditions history
Clinical,Dog,Rottweiler,5.3,25.4,,"Labored breathing, Dyspnea, Coughing, Depression, Anorexia",Allergies
Clinical,Dog,German Shepherd,5.3,43.6,,"Fever, Fever, Weakness, Coughing, Nasal",Not vaccinated
Clinical,Dog,Mixed Breed,2.4,10.9,,"Barren ewes, Abortion, Poor conformation, Hairy Fleeces, Weight loss",Recent surgery
Clinical,Cat,Scottish Fold,0.5,4.4,,"Weight loss, Anorexia, Coughing, Coughing, Lethargy",Not vaccinated
Clinical,Dog,Beagle,9.2,32.3,,"Redness , Pains, Trachea, Scabs On feet, Thickening of skin",Recent surgery
Clinical,Cat,Sphynx,0.5,5.3,,"Diarrhea, Fever, Swelling may occur under jaw, Nervous, Diarrhea",Dental issues
Clinical,Cat,Mixed Breed,15.5,6.2,,"Fever, Abnormal conformation, Ulcerated muscle, Ulcerated ear, Excession Salivation",Allergies
Clinical,Dog,Bulldog,8.7,21.1,,"Abdominal discomfort, Anorexia, Milky Hard, Pain, Sneezing",Allergies
Clinical,Dog,Boxer,15.0,20.5,,"Diarrhea, Weight loss, Lethargy, Succumb, Pain",Dental issues
Clinical,Cat,Scottish Fold,8.5,4.0,,"Lethargy, Vomiting, Lethargy, Sneezing, Weight loss",Previous heart condition
Clinical,Cat,British Shorthair,12.9,5.9,,"Throat and Ear pain, Vomiting, Loss of earing, Facial edema, Head ache",Skin conditions history
Clinical,Cat,Scottish Fold,2.3,4.4,,"Vomiting, Fever, Diarrhea, Weakness, Vomiting",Vaccinated
Clinical,Cat,Mixed Breed,13.7,4.7,,"Animal gets uneasy, Difficulty in breathing, Difficult in respiration, Excessive production, Stamping And pedding of hind eye",Recent surgery
Clinical,Cat,British Shorthair,18.0,3.3,,"Pain on face, Diarrhea, Aggressiveness, Coughing, Lethargy",Skin conditions history
Clinical,Dog,Bulldog,8.5,22.4,,"Blindness, Distinctive bumps, Facial swelling, stunted growth, egg production decreases",Skin conditions history
Clinical,Cat,Mixed Breed,5.7,8.0,,"Vomiting, Vomiting, Abdominal destention, Fever, Anorexia",No previous conditions
Clinical,Dog,Yorkshire Terrier,15.5,4.3,,"Discomfort, Diarrhea, Dry or dull hair, Grinding teeth, Pain",Not vaccinated
Clinical,Dog,Rottweiler,0.5,28.2,,"Anorexia, Fever, Weight loss, Coughing, Pain",Vaccinated
Clinical,Dog,Yorkshire Terrier,4.6,6.4,,"Thivk skin, Excessive eye watering, Coughing, Aggressiveness, Sneezing",Previous heart condition
Clinical,Cat,Bengal,7.3,5.2,,"Walking problem, Lethargy, Anorexia, Lethargy, Fever",Recent surgery
Clinical,Dog,Mixed Breed,13.9,16.4,,"difficulty swallowing, cough , difficulty swallowing, gasping for air, extending its neck",Not vaccinated
Clinical,Cat,British Shorthair,11.2,8.0,,"Sneezing, Anorexia, Sneezing, Sneezing, Weakness",Previous kidney disease
Clinical,Dog,Poodle,4.3,7.7,,"Eyeproblem, Weight loss, Sneezing, Weakness, Reduce Lamp marking",No previous conditions
Clinical,Dog,Poodle,9.9,3.9,,"Coughing, Pain, Deability, Eyeproblem, Pain",No previous conditions
Clinical,Dog,Rottweiler,1.2,29.5,,"Upset stomach, Diarrhea, Vomiting, Muscle pain, Muscle stiffness",Chronic illness
Clinical,Dog,Yorkshire Terrier,7.7,10.0,,"Coughing, Diarrhea, Sneezing, Diarrhea, Excession Salivation",Vaccinated
Clinical,Dog,German Shepherd,8.0,35.8,,"Fever, Sour Throat, Mortality, Muscle aches, Abnormalities",Vaccinated
Clinical,Dog,Rottweiler,4.0,37.9,,"Weight loss, Urine retention, Fever, Sudden death, Convulsion",Skin conditions history
Clinical,Dog,Boxer,8.2,24.1,,"Anorexia, Fell unwell, Flatulence, Anorexia, Coughing",Previous kidney disease
Clinical,Cat,Sphynx,5.6,2.7,,"Floopy muscle, Speech delay, Intellectual disability, Walking problem, Eye movements",No previous conditions
Clinical,Cat,Bengal,7.8,6.5,,"Weakness, Pain, Diarrhea, Fever, Sneezing",Parasite history
Clinical,Cat,British Shorthair,11.6,5.1,,"Moist, Weight loss, Weakness, Coughing, Itchiness",Vaccinated
Clinical,Dog,Boxer,10.0,19.9,,"Diarrhea, Limp, Pain, Anorexia, Weight loss",Allergies
Clinical,Cat,British Shorthair,12.6,2.6,,"chewing, Weight loss, Weakness, Sneezing, Sneezing",Previous heart condition
Clinical,Cat,Sphynx,7.2,8.0,,"Lethargy, anaemia, Sneezing, Anorexia, Diarrhea",Not vaccinated
Clinical,Cat,Ragdoll,1.1,6.3,,"Reduce Lamp marking, Vomiting, Size of lesions vary, Anorexia, Diarrhea",Parasite history
Clinical,Dog,Labrador Retriever,8.0,35.2,,"Unable to exercise, Fever, Anorexia, Tensemus, Pain",Dental issues
Clinical,Cat,British Shorthair,13.9,3.8,,"Neck paralysis, Diarrhea, ruffled feathers, Labored breathing, Weakness",No previous conditions
Clinical,Cat,Siamese,11.8,3.2,,"Ring shaped Lesion, Round patches, Dry skin, Size of lesions vary, Pain",Skin conditions history
Clinical,Cat,Ragdoll,9.4,5.7,,"wasting, stumbling, listlessness, drooling, urination problem",Allergies
Clinical,Dog,German Shepherd,9.7,45.0,,"Coughing, Halitosis, Enteritis, Air sacculitis, Weight loss",Allergies
Clinical,Dog,Bulldog,10.2,26.3,,"cough , gasping for air, Weight loss, gasping for breath, extending its neck",Allergies
Clinical,Cat,Scottish Fold,4.1,5.0,,"Weakness, Coughing, Sneezing, Loss of vitamin E, Anorexia",Parasite history
Clinical,Cat,Ragdoll,8.2,5.0,,"Sneezing, Labored breathing, Pain, Terminal convulsion, Weakness",Chronic illness
Clinical,Dog,Boxer,0.5,17.0,,"Sneezing, Pain, Crusty eye lashes and matting of eyelashes, Anorexia, Vomiting",Chronic illness
Clinical,Dog,Bulldog,6.8,18.8,,"Nuerological, Loss of appetite, Fever, Eyeproblem, Liver disease",Not vaccinated
Clinical,Dog,Labrador Retriever,9.9,24.7,,"emaciation, loss in weight, loss of appetite, Weakness, diarrhoea",Recent surgery
Clinical,Dog,Yorkshire Terrier,8.0,6.0,,"haemorrhage, Straw colored, Abdominal pain, Death, Carcass decomposes",Recent surgery
Clinical,Cat,Ragdoll,2.1,6.6,,"wasting, stumbling, Fever, drooling, drooping ears",Skin conditions history
Clinical,Cat,Persian,1.1,3.6,,"Swollen, Hot joints, Pustulses, Difficulty in Walk, Pains",No previous conditions
Clinical,Cat,Ragdoll,6.4,5.0,,"loss of appetite, Diarrhea, Lession on cat skin, Coughing, Vomiting",Allergies
Clinical,Dog,Yorkshire Terrier,8.6,6.0,,"diffuse, Diarrhea, Scartch, Pain, Vomiting",Skin conditions history
Clinical,Cat,Ragdoll,6.8,6.1,,"weight loss, self-isolation, dull ness, inappetence, recumbency",Previous heart condition
Clinical,Cat,Siamese,15.7,5.1,,"Pains, Fever, Anorexia, Succumb, Sluggish",No previous conditions
Clinical,Cat,Persian,8.0,6.0,,"Coughing, Hyperesthesia, Weakness, Coughing, Pain",Dental issues
Clinical,Dog,Yorkshire Terrier,5.3,5.6,,"Weight loss, depression, Sneezing, Anorexia, Lethargy",Parasite history
Clinical,Cat,Sphynx,2.8,5.6,,"Fever, Coughing, Severe headache, Fatique, Vomiting",Recent surgery
Clinical,Cat,British Shorthair,7.5,4.9,,"Limping, Raw, Skin colour change, Sensitive to touch, Flabby",Skin conditions history
Clinical,Cat,Scottish Fold,16.2,4.9,,"Coughing, Anorexia, Vomiting, Diarrhea, Sudden Abortion",Parasite history
Clinical,Dog,German Shepherd,13.6,42.9,,"Sneezing, Eye closed, Sneezing, Vomiting, Lethargy",No previous conditions
Clinical,Dog,Poodle,11.3,3.7,,"Respiratory distress, Seizuers, Hyperesthesia, Fever, Sudden death",Not vaccinated
Clinical,Cat,Siamese,17.9,5.6,,"Weight loss, Lethargy, Anorexia, Vomiting, Fever",Dental issues
Clinical,Cat,Bengal,7.6,4.9,,"Sneezing, Fever, Scratches, Cloacal pasting, Anorexia",Not vaccinated
Clinical,Cat,Siamese,15.1,5.7,,"Pnemonia, Loss of  appetite, Eye disharge, Lameness, Arthritis",Allergies
Clinical,Dog,Labrador Retriever,8.0,29.9,,"Vomiting, Weakness, Coughing, Sneezing, Pain",Previous kidney disease
Clinical,Dog,Mixed Breed,8.8,7.1,,"Strong cough, Runny nose, Sneezing, Lethargy, Loss of appettite",No previous conditions
Clinical,Cat,Mixed Breed,10.5,4.3,,"Formation of vesicles, Nostrils, Abnormally long leg, Scabs on lip, Pains",No previous conditions
Clinical,Dog,Beagle,7.0,23.1,,"Weakness, Sneezing, Pain, Swelling may occur under jaw, Yellow or green dropping",No previous conditions
Clinical,Cat,Persian,2.6,4.2,,"Short stature, Bleeding in eye and skin, Weakness, Vomiting, Weakness",Previous kidney disease
Clinical,Cat,British Shorthair,11.4,6.6,,"Edema, diarrhea, Nasal Discharge, Decresed egg production, Sneezing",Previous heart condition
Clinical,Dog,Boxer,5.0,23.7,,"Anorexia, Fever, Vomiting, Weakness, Fever",Skin conditions history
Clinical,Dog,Boxer,1.7,26.2,,"Fever, Difficulty breathing, Thrist and urination, Weight loss, Enlarged lymph nodes or Swelling",Previous heart condition
Clinical,Cat,Maine Coon,16.3,6.3,,"Weight loss, Distress, Inability to absorb nutrients, Lethargy, Fever",Vaccinated
Clinical,Cat,Bengal,3.8,8.0,,"Weight loss, weakness, Poor conformation, Lethargy, Anorexia",Previous kidney disease
Clinical,Dog,Beagle,6.9,15.0,,"Coughing, Anorexia, Coughing, Coughing, hot udder",Chronic illness
Clinical,Cat,Siamese,1.1,6.2,,"Periodic vommiting, Fever, Diffculty breathing, Anorexia, Weight loss",Skin conditions history
Clinical,Cat,Maine Coon,3.7,8.2,,"Weakness, Diarrhea, Lethargy, Pain, Weight loss",Recent surgery
Clinical,Cat,Bengal,2.3,4.8,,"Nostrils, Pains, Abnormally long leg, Scabs on lip, Formation of vesicles",Recent surgery
Clinical,Dog,German Shepherd,4.6,45.0,,"Weakness, Distended chest, Lethargy, Anorexia, Coughing",Previous kidney disease
Clinical,Cat,Maine Coon,6.0,5.9,,"Respiratory infection, Short stature, Anorexia, Pain, Bubbles in the mouth",Allergies
Clinical,Dog,Mixed Breed,11.3,22.2,,"Pain, Weakness, Sneezing, Diarrhea, Sneezing",No previous conditions
Clinical,Dog,Bulldog,9.4,20.9,,"egg production decreases, stunted growth, Blindness, Distinctive bumps, Facial swelling",Skin conditions history
Clinical,Dog,Rottweiler,15.0,42.8,,"Watery eye, Vomiting, Vomiting, Diarrhea, Anorexia",Vaccinated
Clinical,Dog,Bulldog,5.6,19.3,,"Reluctant Move, Loss of Appetite, Lameness, Death, Weakness",Allergies
Clinical,Cat,Siamese,8.2,5.0,,"Lession on cat skin, Dandruff in cat coat, Red patches, Hair loss, Skin issue",No previous conditions
Clinical,Dog,Bulldog,8.1,19.5,,"Fever, Dull, Hind quarted soil, Animal stop feed, Decrease in milk production",Allergies
Clinical,Cat,Bengal,11.0,5.2,,"Difficulty in breathing, Stamping And pedding of hind eye, Excessive production, Animal gets uneasy, Difficult in respiration",Parasite history
Clinical,Dog,Yorkshire Terrier,14.3,8.6,,"Weight loss, Weakness, Lethargy, Weight loss, Sneezing",No previous conditions
Clinical,Cat,Maine Coon,5.2,6.2,,"Lying down, Depression, Fever, Weak Pulse, Colic",Previous heart condition
Clinical,Cat,Mixed Breed,9.9,6.1,,"Changes in outer layer skin, Swelling of eye, loss of appetite, Lethargy, Respiratory infection",Previous heart condition
Clinical,Dog,Mixed Breed,0.9,9.9,,"Fever, Difficulty in breathing, Lethargy, Death, Pains",Allergies
Clinical,Dog,German Shepherd,9.4,41.2,,"Swollen lymph nodes, Difficulty walking, Watery Stool, Lethargy, Vaginal Discharge",Recent surgery
Clinical,Dog,Bulldog,14.3,21.3,,"Limping, Willnot run to jump, Swelling , Week legs, Pain on leg",Not vaccinated
Clinical,Cat,Ragdoll,3.8,5.7,,"Gagging, Retching, Unilateral Nasal discharge, Weight loss, Sneezing",No previous conditions
Clinical,Cat,Scottish Fold,10.1,6.0,,"Swelling, Lameness, Hyperaestesia, Hock joint, Weight loss",Dental issues
Clinical,Cat,British Shorthair,4.5,5.5,,"Drop on egg production, Diarrhea, Vomiting, Pain, Sneezing",Vaccinated
Clinical,Dog,Golden Retriever,8.6,29.6,,"Back Pain, Pain, Diarrhea, Vomiting, Weight loss",Dental issues
Clinical,Dog,Labrador Retriever,15.0,33.2,,"Abdominal pain, Vomiting, Weakness, Swollen Abdomen, swollen teats",Dental issues
Clinical,Cat,Mixed Breed,3.9,6.6,,"Fever, Fever, Weight loss, Fever, Weakness",Allergies
Clinical,Dog,Bulldog,5.1,19.6,,"Weakness, Sneezing, Weakness, Weight loss, Anorexia",No previous conditions
Clinical,Cat,Ragdoll,18.0,8.0,,"Sneezing, Red Diarrhea, Sneezing, Vomiting, Weight loss",Skin conditions history
Clinical,Dog,Rottweiler,6.3,45.0,,"Sneezing, Weight loss, Weakness, Fever, Sneezing",No previous conditions
Clinical,Cat,Siamese,10.5,6.5,,"Shaking head, Scartching ear, Black on ear, Bad smell, Red and inflammation ear",Parasite history
Clinical,Cat,Sphynx,6.3,3.0,,"Sneezing, Weight loss, Weakness, Weakness, Anorexia",No previous conditions
Clinical,Cat,Mixed Breed,14.9,3.7,,"Decreased growth of bone, Depression, Grunting, Lameness, Weight loss",No previous conditions
Clinical,Dog,Rottweiler,5.7,33.3,,"Coughing, Fever, Diarrhea, Weakness, Pain",No previous conditions
Clinical,Dog,Beagle,3.0,17.7,,"Allergic Reaction, Poor appetite, Coughing, Weight loss, Distended chest",Vaccinated
Clinical,Cat,British Shorthair,5.2,6.5,,"Pain, Fever, Weight loss, Pain, Vomiting",Chronic illness
Clinical,Dog,Rottweiler,5.2,27.5,,"Weakness, Fever, Weight loss, Anorexia, Lethargy",Chronic illness
Clinical,Dog,Rottweiler,1.2,29.2,,"Upset stomach, Diarrhea, Vomiting, Muscle pain, Muscle stiffness",Chronic illness
Clinical,Cat,British Shorthair,9.6,5.3,,"Coughing, Weakness, Excession Salivation, Diarrhea, Weight loss",Previous heart condition
Clinical,Cat,Ragdoll,6.2,5.9,,"wasting, stumbling, listlessness, drooling, drooping ears",Not vaccinated
Clinical,Cat,Scottish Fold,15.9,2.8,,"Groosly enlarged, Skin may thicken, Convulsion, Edematous, Pains",Recent surgery
Clinical,Cat,Bengal,12.8,3.3,,"Bloody Urine, Bloody discharge, Fatigue, Diarrhea, Nuerological",Allergies
Clinical,Cat,Maine Coon,7.7,5.2,,"Fever, Diarrhea, Coughing, Consistency of milk, Pain",Skin conditions history
Clinical,Dog,Beagle,3.7,25.8,,"Vomiting, Diarrhea, Dehydration, Weight loss, Poor coat apperence ",Recent surgery
Clinical,Dog,Rottweiler,5.0,30.3,,"Immediate death, Difficulty in breathing, Blue colored lip, Bloody discharge, Neurologic abnormalities",No previous conditions
Clinical,Dog,German Shepherd,9.1,38.9,,"Air sacculitis, Halitosis, Coughing, Enteritis, Weight loss",Allergies
Clinical,Cat,Ragdoll,0.5,6.9,,"Tear production, Coughing, Head Pressing, Weakness, Fever",Parasite history
Clinical,Dog,Rottweiler,0.5,45.0,,"Lethargy, Ulcer on gum, Weight loss, Anorexia, Sneezing",Chronic illness
Clinical,Dog,German Shepherd,5.5,32.4,,"Lethargy, Coughing, Weight loss, Diarrhea, Blood from mouth",Previous kidney disease
Clinical,Dog,Beagle,3.2,31.5,,"Poor coat apperence , Diarrhea, Vomiting, Weight loss, Dehydration",Recent surgery
Clinical,Dog,Mixed Breed,14.2,18.7,,"Lesions in the nasal cavity, Lesions on nose, Vomiting, Noisy Breathing, Lesions on nose",Recent surgery
Clinical,Dog,Rottweiler,6.1,29.6,,"Isolation from flock, Stealing , Nesting behaviour, Pawing at bedding, Pains",Vaccinated
Clinical,Dog,Beagle,11.0,23.1,,"Jaundice, Loss of appetite, Rough Hair coat, Coughing, Death",Vaccinated
Clinical,Cat,Ragdoll,10.3,7.4,,"Reduce Reproductive potential, Fever, Coughing, Lethargy, Sneezing",Skin conditions history
Clinical,Cat,Bengal,2.4,4.3,,"Abnormally long leg, Nostrils, Scabs on lip, Pains, Formation of vesicles",Recent surgery
Clinical,Cat,Persian,7.6,3.0,,"Vomiting, Weight loss, Sneezing, Anorexia, Fever",Recent surgery
Clinical,Cat,Persian,15.9,4.4,,"Not eating, Vomiting, Lethargy, Lethargy, Vomiting",Vaccinated
Clinical,Cat,Siamese,2.3,4.0,,"burning ache or pain, vomiting, loss of appetite, experiencing changes in weight,  pain and bloating",Recent surgery
Clinical,Dog,Beagle,6.3,28.9,,"Coughing, gurgling sound, Diarrhea, Lethargy, Vomiting",Recent surgery
Clinical,Dog,Poodle,3.8,5.6,,"Sneezing, Pain, Weakness, Skeleten abnormalities, Weakness",Recent surgery
Clinical,Dog,Golden Retriever,9.5,31.5,,"Anorexia, Constipation, Fever, Weakness, Lethargy",Vaccinated
Clinical,Cat,Sphynx,1.3,3.5,,"Lethargy, Dizzines, Uteria inertia, Diarrhea, Lethargy",Vaccinated
Clinical,Cat,Bengal,1.2,6.0,,"Wool is clumped, Feels stiff, Staggering, Skin Rashes, Pains",Not vaccinated
Clinical,Cat,Siamese,4.2,3.5,,"Fever, Depression, Coughing, Weight loss, Anorexia",Not vaccinated
Clinical,Cat,Sphynx,14.1,2.5,,"outstretched neck, noisy breathing, inappetence, dull ness, coughing",Recent surgery
Clinical,Dog,Beagle,5.4,27.4,,"Anorexia, Vomiting, Weight loss, Anorexia, Vomiting",Not vaccinated
Clinical,Dog,Boxer,6.5,29.8,,"Bloody Diarhhea, Depression, Dullness, Death, Weakness",Skin conditions history
Clinical,Dog,Labrador Retriever,12.8,28.9,,"loss in weight, emaciation, loss of appetite, Weakness, diarrhoea",No previous conditions
Clinical,Dog,Rottweiler,10.1,25.0,,"Coughing, Diarrhea, Diarrhea, Coughing, Vomiting",No previous conditions
Clinical,Dog,Rottweiler,5.8,25.0,,"Anorexia, Diarrhea, Coughing, Diarrhea, Weakness",Allergies
Clinical,Dog,Poodle,1.9,6.0,,"Extension of neck, Weakness, Coughing, Weight loss, Lethargy",Recent surgery
Clinical,Dog,Rottweiler,8.7,43.2,,"Eye redness, Frequent eye Infections, Crusty eye lashes and matting of eyelashes, foul smelling stools,  increased passing gas",Not vaccinated
Clinical,Cat,Mixed Breed,16.2,5.0,,"Sudden death, Lethargy, Fever, Sneezing, Coughing",Chronic illness
Clinical,Cat,Bengal,13.6,3.3,,"Anorexia, Lethargy, Weakness, Vomiting, Pain",Parasite history
Clinical,Cat,Maine Coon,6.8,6.9,,"Lethargy, Coughing, Weakness, Stamping And pedding of hind eye, Anorexia",Skin conditions history
Clinical,Cat,Ragdoll,7.2,7.1,,"Sneezing, Distinctive bumps, Coughing, Cramps, Weight loss",Allergies
Clinical,Dog,Labrador Retriever,3.5,42.7,,"Vomiting, Weight loss, Drooling, Sneezing, Coughing",Chronic illness
Clinical,Dog,Mixed Breed,2.6,11.4,,"Weakness, Sneezing, Hematuria, Lethargy, Sickness",No previous conditions
Clinical,Dog,Mixed Breed,13.2,19.3,,"Fetopelvic dispropotion, Uteria inertia, Malpresentation, Death, Pains",Dental issues
Clinical,Cat,Mixed Breed,2.2,5.8,,"Fever, Succumb, Spread of infection, Weight loss, Anorexia",Allergies
Clinical,Dog,German Shepherd,10.8,34.9,,"Lethargy, Anorexia, Weakness, Vomiting, Weakness",Vaccinated
Clinical,Dog,Poodle,6.0,8.0,,"Horny growth, Red on affected area, Red skin, Lesions on ear, Wart-like growth",Previous kidney disease
Clinical,Cat,Ragdoll,5.4,6.1,,"Fever, Diarrhea, Vomiting, Cramps, Dehydration",No previous conditions
Clinical,Dog,Golden Retriever,13.8,28.7,,"fever, loss of appetite, rapid pulse and heart rates, lameness in affected leg, depression",Previous kidney disease
Clinical,Dog,Yorkshire Terrier,14.8,6.2,,"Fever, Difficulty in breathing, Dribbling of saliva, Inability of Swalllon Feeding, Moist and painfull",Dental issues
Clinical,Cat,Siamese,2.3,3.1,,"Swollen Abdomen, Difficulty in Breathing, Diarrhea, Vomiting, Fever",Parasite history
Clinical,Dog,Mixed Breed,1.6,24.0,,"Decreased eyelid, Very cold skin, Lethargy, Lip, Fever",Skin conditions history
Clinical,Cat,Siamese,7.9,7.8,,"Pain, Coughing, Weight loss, Anorexia, Diarrhea",No previous conditions
Clinical,Dog,Rottweiler,1.6,34.0,,"Mummification, Pain, Abortion , Weak kids, Stillbirth",Recent surgery
Clinical,Cat,Ragdoll,9.2,9.3,,"Fever, Abortion, Kidney failure, Inflammation of eye, Eye redness",Not vaccinated
Clinical,Cat,Ragdoll,10.2,8.0,,"nasal discharge, depression, muscular stiffness, fever, swollen lymph nodes",Vaccinated
Clinical,Dog,Beagle,15.0,21.1,,"Pain, Pain, Weakness, Weight loss, Anorexia",Not vaccinated
Clinical,Cat,British Shorthair,13.5,6.2,,"Facial edema, Loss of earing, Vomiting, Head ache, Throat and Ear pain",Skin conditions history
Clinical,Cat,Scottish Fold,6.4,3.9,,"Fever, Tiredness, loss of appetite, Muscle aches, Chest Pain",Previous kidney disease
Clinical,Cat,Scottish Fold,17.9,6.5,,"Tenderness, Facial Paralysis, Weight loss, Foot Hot, Pains",Vaccinated
Clinical,Dog,Boxer,4.6,23.6,,"Difficulty breathing, Coughing, Unable to exercise, Fever, Eye and Skin change",Previous kidney disease
Clinical,Cat,Maine Coon,5.4,5.6,,"Fever, Weight loss, Weight loss, Anorexia, Weight loss",Recent surgery
Clinical,Cat,British Shorthair,2.3,3.0,,"Red Tinge, Slim over the shell, Bad smell, Easily damage shell, Flaking of the Scutes",No previous conditions
Clinical,Dog,Bulldog,12.5,26.9,,"Coughing, Vomiting, Fever, Sneezing, Coughing",Previous heart condition
Clinical,Cat,Mixed Breed,18.0,3.3,,"Weight loss, Loss of appetite, Weakness, Fever, Vomitting",Not vaccinated
Clinical,Dog,Bulldog,5.3,23.1,,"Vomiting, Fever, Anorexia, Poor Appetite, Weakness",Chronic illness
Clinical,Dog,Mixed Breed,12.9,13.3,,"Swollen lymph nodes, Difficulty walking, Back Pain, Lethargy, Vaginal Discharge",Skin conditions history
Clinical,Dog,Mixed Breed,5.5,11.5,,"Decreased growth of bone, Pain, Sneezing, Swelling, Diarrhea",Recent surgery
Clinical,Dog,Bulldog,9.2,23.2,,"egg production decreases, stunted growth, Blindness, Distinctive bumps, Facial swelling",Parasite history
Clinical,Dog,Rottweiler,7.6,24.2,,"Bluish white opacity, Blindness, Anversion to light, Tear production, Pains",Recent surgery
Clinical,Cat,Sphynx,13.0,6.5,,"Lethargy, Coughing, Sneezing, Fever, difficulty diagnosis",Not vaccinated
Clinical,Dog,Labrador Retriever,8.5,42.2,,"Vomiting, Sneezing, Loss of consciousness, Lethargy, Vomiting",Parasite history
Clinical,Dog,Rottweiler,4.4,36.3,,"Weakness, Moist, Weight loss, Lethargy, muscular spasms",Previous kidney disease
Clinical,Cat,Mixed Breed,5.6,4.1,,"fever, loss of appetite, rapid pulse and heart rates, lameness in affected leg, depression",No previous conditions
Clinical,Cat,Mixed Breed,14.2,3.8,,"Vomiting, Diarrhea, Weight loss, Lethargy, Ring shaped Lesion",Not vaccinated
Clinical,Dog,Rottweiler,5.8,41.0,,"Poor coat condition, Fever, Fatique, Weight loss, Infection of the skin",Recent surgery
Clinical,Dog,Bulldog,3.9,19.3,,"Coughing, Coughing, Weight loss, Salivating, Bloody diarrhea",No previous conditions
Clinical,Cat,Persian,4.1,5.9,,"Lethargy, Nible at their wool, Diarrhea, Anorexia, Vomiting",Dental issues
